profile_completeness,has_profile_picture,bio_length,email_pattern_risk,username_pattern_risk,document_valid,account_age_days,login_frequency_per_week,days_since_last_login,activity_score,duplicate_flag,risk_score,label,label_name
100.0,1,128.0,2.3,8.3,1,484.6,4.78,1.7,62.3,0,5.7,0,Verified
82.0,1,69.0,12.2,26.9,0,539.2,7.61,1.0,51.6,0,27.7,0,Verified
92.9,1,152.0,3.1,15.9,1,179.7,3.2,13.0,55.8,0,0.0,0,Verified
70.9,1,130.0,14.3,16.1,1,90.1,2.11,1.6,46.7,0,14.3,0,Verified
71.1,0,96.0,0.0,0.0,0,359.0,4.67,0.2,55.6,0,41.3,1,Flagged for Review
97.1,1,182.0,5.1,0.0,1,931.5,5.32,1.6,57.5,0,9.5,0,Verified
41.5,1,7.0,65.7,53.2,1,15.5,0.3,40.5,0.0,1,57.2,1,Flagged for Review
30.0,1,3.0,74.4,59.2,0,60.0,23.4,6.9,19.1,0,50.8,1,Flagged for Review
29.2,0,20.0,62.3,32.3,1,2.5,0.42,61.5,12.9,0,55.5,1,Flagged for Review
3.7,0,10.0,65.8,42.6,1,5.3,1.32,6.2,9.4,0,67.1,2,Rejected
79.5,1,146.0,0.0,0.0,1,243.2,2.04,0.3,42.2,0,0.0,0,Verified
33.4,1,17.0,64.3,73.6,0,5.9,3.66,18.0,0.0,0,64.3,1,Flagged for Review
91.7,1,166.0,6.0,12.5,1,470.7,7.4,1.3,71.4,0,8.7,0,Verified
92.3,1,181.0,18.6,12.0,1,196.6,2.14,5.4,46.1,0,4.6,0,Verified
41.0,0,0.0,76.0,11.7,0,15.4,16.62,2.7,0.1,0,79.5,2,Rejected
78.0,1,171.0,1.3,5.0,1,537.9,5.06,0.1,44.3,0,4.4,0,Verified
26.5,0,25.0,58.9,85.0,0,1.2,22.84,13.9,0.0,0,84.6,2,Rejected
94.5,1,120.0,6.0,17.8,1,336.1,8.82,6.1,75.3,0,4.3,0,Verified
37.3,0,4.0,40.3,66.0,0,9.2,0.18,33.6,8.5,0,75.2,2,Rejected
86.9,1,96.0,0.0,23.6,1,593.8,4.35,1.0,49.9,0,2.8,0,Verified
54.3,1,128.0,8.8,9.3,1,375.2,1.39,4.4,55.5,0,3.4,0,Verified
21.6,0,6.0,60.3,53.4,0,33.2,0.0,59.1,0.0,0,72.7,2,Rejected
72.5,0,0.0,84.8,78.0,0,12.3,1.0,34.9,13.9,1,100.0,2,Rejected
68.7,0,37.0,4.8,7.1,1,219.1,8.23,6.0,30.0,0,13.7,0,Verified
70.3,0,77.0,9.6,24.1,1,1113.9,5.44,2.4,79.1,0,31.2,0,Verified
92.7,1,146.0,15.1,7.6,1,369.0,5.76,1.0,72.8,0,7.5,0,Verified
60.4,1,181.0,15.5,8.7,1,774.9,3.28,0.1,61.8,0,11.9,0,Verified
52.1,1,11.0,80.9,44.1,0,11.1,1.58,45.2,0.0,1,88.9,2,Rejected
90.4,1,158.0,12.1,18.1,1,372.3,5.37,4.3,89.5,0,12.4,0,Verified
18.1,0,4.0,21.3,81.8,1,17.4,33.27,8.1,13.8,0,56.1,1,Flagged for Review
78.7,1,32.0,6.5,27.1,0,446.6,7.53,0.1,34.8,0,31.9,0,Verified
92.4,0,90.0,10.3,1.4,1,1.0,7.41,3.1,66.9,0,31.7,0,Verified
28.3,1,0.0,71.0,62.0,0,22.6,0.54,8.3,0.0,0,72.0,2,Rejected
26.9,1,3.0,97.0,52.9,0,16.9,37.09,7.4,0.0,0,78.3,2,Rejected
15.9,0,9.0,95.7,61.5,0,9.9,28.14,12.6,17.1,0,86.4,2,Rejected
43.5,0,5.0,55.2,96.6,1,71.8,0.0,25.6,8.8,1,64.0,1,Flagged for Review
80.3,1,148.0,16.7,23.6,1,358.5,5.59,0.3,46.3,0,7.7,0,Verified
88.4,1,97.0,11.8,8.4,1,927.2,0.0,7.3,76.6,0,0.0,0,Verified
75.0,1,24.0,20.0,2.0,1,296.1,4.98,1.2,41.6,0,7.7,0,Verified
79.4,1,88.0,10.0,7.8,0,917.2,8.52,4.0,67.7,0,28.2,0,Verified
33.4,0,23.0,16.9,70.6,0,18.7,0.7,84.5,16.0,0,76.5,2,Rejected
81.5,1,165.0,6.4,28.1,1,566.5,4.12,0.4,64.9,0,3.4,0,Verified
70.6,1,84.0,8.0,8.6,0,286.9,3.25,3.4,36.7,0,23.7,0,Verified
66.4,1,133.0,17.4,27.5,1,570.0,7.01,5.6,54.6,0,17.8,0,Verified
85.6,1,123.0,0.0,0.0,1,860.1,5.77,0.7,78.8,0,0.0,0,Verified
85.0,1,112.0,10.4,25.0,1,382.3,4.38,1.6,57.1,0,13.0,0,Verified
93.0,1,152.0,15.1,6.1,1,331.8,3.53,2.9,76.3,0,0.6,0,Verified
76.0,1,80.0,3.4,0.0,1,355.8,5.19,4.8,54.5,0,6.5,0,Verified
46.6,0,0.0,57.8,100.0,1,22.0,11.89,54.0,3.3,0,69.1,2,Rejected
41.5,1,8.0,55.6,84.0,0,25.5,16.05,22.2,7.4,0,56.6,1,Flagged for Review
38.9,0,14.0,54.2,76.7,1,27.6,11.56,14.3,0.0,1,81.7,2,Rejected
70.4,1,133.0,5.9,12.4,1,501.5,1.58,6.5,20.7,0,15.3,0,Verified
41.8,0,10.0,90.6,59.5,0,30.3,0.72,21.9,16.7,0,71.9,2,Rejected
87.1,1,120.0,16.8,14.3,1,530.2,8.37,2.6,38.1,0,9.5,0,Verified
82.1,1,105.0,2.7,2.5,1,698.2,5.41,16.3,33.6,0,0.0,0,Verified
61.4,0,16.0,76.5,33.0,0,19.0,19.17,69.0,27.4,0,70.2,2,Rejected
84.2,1,89.0,27.7,35.5,0,775.9,7.46,2.0,79.1,0,48.0,1,Flagged for Review
100.0,1,95.0,19.6,44.1,0,515.1,5.85,4.5,58.9,1,32.4,0,Verified
61.3,0,5.0,63.9,41.7,0,8.4,0.0,24.2,6.4,0,71.8,2,Rejected
32.6,0,9.0,73.0,88.6,1,2.0,18.34,9.5,12.0,0,72.8,2,Rejected
0.0,1,14.0,39.4,12.7,1,1.9,0.68,33.4,22.2,1,59.4,1,Flagged for Review
22.8,0,11.0,87.3,69.4,0,2.7,0.0,6.5,44.6,1,88.2,2,Rejected
98.7,0,65.0,0.0,3.2,1,654.4,8.49,0.7,53.7,0,6.8,0,Verified
64.4,1,107.0,21.6,5.4,0,505.8,7.36,1.0,63.9,0,27.0,0,Verified
92.2,1,39.0,18.3,37.8,1,561.4,9.01,2.6,73.0,0,6.6,0,Verified
90.3,1,127.0,14.8,33.7,1,705.7,7.78,1.7,61.2,0,8.8,0,Verified
80.0,0,60.0,23.6,21.0,1,291.1,4.75,0.6,71.2,0,12.3,0,Verified
45.9,0,0.0,71.6,60.8,1,26.0,32.04,3.0,31.7,1,67.0,2,Rejected
96.4,1,93.0,14.5,22.7,1,722.4,3.49,0.2,100.0,0,1.2,0,Verified
94.2,1,123.0,25.6,9.1,1,877.6,0.6,5.4,65.0,0,6.9,0,Verified
66.0,0,85.0,21.0,0.0,1,132.5,2.7,1.0,67.3,0,15.1,0,Verified
93.5,1,83.0,1.6,15.4,1,526.2,6.06,2.1,86.6,0,2.6,0,Verified
67.3,0,3.0,80.8,99.8,0,12.1,0.0,35.1,0.0,1,94.8,2,Rejected
28.6,0,1.0,48.6,73.1,0,17.6,0.57,0.5,24.0,0,79.1,2,Rejected
59.3,1,2.0,58.8,70.0,0,14.5,23.07,19.8,0.0,0,66.4,2,Rejected
79.9,1,99.0,14.8,6.0,1,440.1,0.57,13.6,79.6,0,7.0,0,Verified
98.7,1,184.0,0.0,11.6,1,717.7,5.46,1.1,57.8,0,1.1,0,Verified
80.8,1,99.0,8.8,11.0,0,330.0,5.95,2.4,86.7,0,26.3,0,Verified
43.1,0,1.0,41.7,66.4,0,15.0,0.0,3.7,23.8,0,68.8,2,Rejected
76.5,1,79.0,5.6,30.2,1,475.0,3.67,20.5,71.8,0,14.0,0,Verified
84.5,1,85.0,13.1,0.2,1,195.9,8.86,5.0,82.3,0,3.3,0,Verified
41.5,0,15.0,69.2,37.0,0,16.4,0.0,1.2,25.3,1,80.8,2,Rejected
11.4,0,0.0,45.1,7.8,0,0.1,0.0,54.0,0.0,1,88.7,2,Rejected
58.8,0,17.0,38.7,77.0,0,1.7,0.0,1.8,0.0,0,71.8,2,Rejected
100.0,1,73.0,23.8,29.5,1,727.4,8.64,4.2,48.4,0,8.7,0,Verified
39.0,0,5.0,58.4,57.4,0,1.3,0.0,0.1,0.0,1,88.1,2,Rejected
99.9,1,93.0,12.0,18.8,1,17.6,4.33,10.1,79.0,0,23.5,0,Verified
79.9,1,101.0,0.4,15.3,1,557.9,7.73,2.5,60.5,0,0.7,0,Verified
89.5,1,167.0,16.7,14.8,1,555.8,7.47,3.3,45.9,0,14.3,0,Verified
93.8,1,168.0,13.3,15.7,1,530.0,7.34,1.8,56.7,0,5.6,0,Verified
99.1,1,97.0,22.8,0.0,1,383.1,4.35,2.8,64.2,0,9.8,0,Verified
8.1,0,16.0,39.6,71.2,1,3.5,0.8,9.9,0.0,0,57.8,1,Flagged for Review
94.2,1,71.0,0.0,25.9,0,770.0,8.74,4.0,67.9,0,13.0,0,Verified
73.8,0,0.0,97.1,60.2,1,41.1,17.09,65.3,5.7,1,55.5,1,Flagged for Review
15.0,0,0.0,46.4,56.4,0,0.8,0.0,35.5,0.0,0,95.5,2,Rejected
21.4,0,0.0,52.8,35.1,1,2.1,0.0,32.2,14.4,1,69.0,2,Rejected
95.1,0,73.0,14.4,5.1,1,226.9,10.11,8.0,79.8,0,21.0,0,Verified
78.9,1,75.0,11.1,36.6,1,173.2,10.29,3.0,54.2,0,3.1,0,Verified
42.0,0,10.0,76.4,50.8,0,23.5,18.42,21.4,8.3,0,82.7,2,Rejected
44.8,1,10.0,66.5,67.0,0,19.1,23.51,12.1,0.0,1,88.7,2,Rejected
69.2,1,155.0,1.3,0.0,1,182.8,2.43,1.3,92.7,0,21.9,0,Verified
57.2,0,0.0,34.0,69.8,1,3.7,12.92,47.8,6.0,1,66.8,2,Rejected
43.2,1,12.0,94.8,75.1,1,1.7,0.85,0.6,1.9,0,54.5,1,Flagged for Review
86.3,0,50.0,6.3,24.8,1,745.6,3.68,8.4,55.8,0,19.1,0,Verified
74.7,1,109.0,6.8,0.0,1,197.8,6.75,1.7,54.5,0,0.0,0,Verified
73.0,0,0.0,32.9,32.1,0,13.1,0.0,27.4,21.6,1,74.9,2,Rejected
87.9,0,108.0,19.2,12.2,1,458.7,0.47,6.7,74.9,0,17.2,0,Verified
82.6,1,176.0,8.7,15.3,1,902.6,8.93,3.7,64.6,0,2.1,0,Verified
57.1,0,11.0,68.5,100.0,1,18.1,0.0,22.1,6.7,0,68.1,2,Rejected
63.6,1,74.0,25.4,0.0,1,1256.0,2.6,0.3,50.5,0,11.2,0,Verified
85.9,0,78.0,18.5,21.7,1,506.3,1.9,12.3,54.1,0,23.6,0,Verified
52.1,1,137.0,15.3,5.2,1,481.2,3.35,0.1,37.0,0,20.9,0,Verified
96.2,1,168.0,13.3,25.2,1,1.0,2.76,1.0,90.7,1,31.0,0,Verified
79.8,1,123.0,18.7,16.0,1,531.3,2.82,2.4,51.6,0,6.7,0,Verified
41.6,0,0.0,66.6,9.2,0,36.2,19.13,13.6,17.9,0,53.4,1,Flagged for Review
100.0,1,137.0,19.8,4.9,0,314.1,5.32,0.8,65.9,0,27.8,0,Verified
49.2,0,14.0,36.5,5.9,0,3.7,0.0,18.8,29.4,1,68.9,2,Rejected
26.3,1,4.0,35.6,49.2,0,22.7,21.38,17.9,0.0,0,67.6,2,Rejected
45.3,1,5.0,17.7,29.1,0,0.7,27.58,26.0,2.3,0,63.1,1,Flagged for Review
100.0,1,154.0,10.9,0.0,1,963.3,3.76,2.1,49.5,0,0.0,0,Verified
59.1,1,50.0,8.9,20.3,1,323.6,2.0,1.0,80.8,0,8.1,0,Verified
47.3,0,0.0,78.9,59.4,1,21.6,17.76,16.8,0.0,1,83.7,2,Rejected
73.3,1,72.0,11.7,0.0,1,315.0,6.12,0.1,68.2,0,10.6,0,Verified
56.7,0,4.0,19.3,42.0,0,5.9,0.03,3.7,21.3,1,77.3,2,Rejected
89.0,1,88.0,18.9,7.0,0,466.0,5.15,3.8,34.7,0,24.1,0,Verified
51.2,0,3.0,65.4,54.0,0,90.0,0.0,75.0,0.0,1,72.9,2,Rejected
65.2,1,149.0,16.0,0.0,1,1.0,4.04,1.9,41.6,0,16.1,0,Verified
49.6,1,159.0,22.7,0.0,1,483.3,0.28,5.5,72.9,0,6.0,0,Verified
94.0,1,72.0,8.5,19.7,1,339.5,7.18,1.4,20.0,0,9.0,0,Verified
28.0,0,6.0,62.2,54.2,0,13.7,22.02,65.2,4.2,0,83.1,2,Rejected
34.6,0,7.0,64.4,48.1,0,15.4,3.98,9.6,0.0,0,76.3,2,Rejected
28.9,0,5.0,49.2,75.8,1,25.4,9.01,2.4,3.4,0,59.3,1,Flagged for Review
93.1,1,114.0,3.1,11.4,1,642.8,2.51,6.4,40.7,0,6.2,0,Verified
80.3,1,131.0,0.0,16.1,1,792.0,6.1,2.5,40.6,0,3.5,0,Verified
13.9,0,0.0,35.4,62.6,0,8.7,0.05,24.1,20.2,1,82.9,2,Rejected
79.8,1,134.0,0.0,38.0,1,574.0,4.56,5.1,81.4,0,20.6,0,Verified
76.8,1,95.0,2.5,5.5,1,123.0,7.71,1.6,74.3,0,1.5,0,Verified
63.1,1,122.0,15.9,9.3,1,899.3,1.93,3.0,48.5,0,14.1,0,Verified
72.0,0,42.0,17.2,27.8,1,178.8,1.2,0.4,40.1,0,24.2,0,Verified
31.6,0,12.0,58.3,82.8,0,19.9,0.0,1.3,0.0,0,75.2,2,Rejected
36.4,0,0.0,37.0,64.2,0,12.9,23.16,3.8,22.0,0,64.5,1,Flagged for Review
84.4,1,93.0,1.3,8.6,1,616.7,6.59,1.0,38.8,0,8.8,0,Verified
68.1,1,68.0,4.5,8.7,1,568.8,7.88,0.4,54.3,0,6.2,0,Verified
79.5,1,86.0,12.7,16.4,1,315.9,3.68,1.3,55.0,0,0.0,0,Verified
54.5,0,0.0,91.6,54.9,1,19.6,4.36,91.3,7.0,0,65.7,2,Rejected
45.0,0,10.0,72.2,54.5,1,20.9,3.35,1.1,0.0,1,72.4,2,Rejected
100.0,1,106.0,0.0,2.8,1,409.8,1.76,1.1,42.5,0,3.0,0,Verified
61.4,1,33.0,21.3,4.7,0,377.9,8.78,4.7,45.8,0,46.9,1,Flagged for Review
73.8,1,72.0,15.1,0.0,1,234.5,8.27,2.2,80.8,0,9.2,0,Verified
86.6,1,125.0,17.9,0.0,1,483.6,1.79,3.0,64.3,0,9.3,0,Verified
99.5,1,86.0,22.9,15.6,1,471.5,5.5,1.0,64.6,0,5.5,0,Verified
0.0,1,16.0,62.8,100.0,0,5.8,0.0,13.6,0.0,0,75.8,2,Rejected
45.2,0,0.0,65.3,30.1,0,5.9,0.42,3.8,10.2,1,96.9,2,Rejected
54.4,1,125.0,0.0,0.0,1,878.5,1.47,5.9,80.6,0,3.2,0,Verified
83.4,1,45.0,41.4,9.1,1,265.3,14.01,0.5,65.6,0,10.8,0,Verified
54.1,0,11.0,100.0,49.9,1,23.5,0.0,34.5,1.4,1,90.1,2,Rejected
67.2,0,6.0,56.4,60.4,0,51.9,0.27,46.2,11.6,1,76.2,2,Rejected
81.7,1,109.0,0.0,7.0,1,496.6,8.47,0.7,40.2,0,11.1,0,Verified
67.8,1,29.0,63.9,43.1,0,2.7,13.4,12.3,9.4,0,66.4,2,Rejected
49.8,0,2.0,56.8,58.1,0,17.2,19.1,30.9,10.4,1,89.3,2,Rejected
70.6,1,64.0,9.4,0.0,1,40.5,3.74,2.4,30.5,0,8.3,0,Verified
93.5,1,97.0,0.0,0.4,0,445.4,2.79,1.2,17.3,0,24.7,0,Verified
85.2,1,183.0,8.6,12.1,1,531.7,5.68,4.1,93.7,0,11.2,0,Verified
18.1,1,13.0,70.1,69.9,1,26.5,20.84,15.3,23.1,0,56.3,1,Flagged for Review
68.3,1,186.0,9.6,0.0,1,542.1,3.73,1.4,42.6,0,7.0,0,Verified
31.5,0,7.0,10.4,78.9,1,12.3,1.69,25.8,0.0,1,77.2,2,Rejected
37.5,1,0.0,70.9,61.2,0,18.7,24.92,28.2,27.2,0,65.7,2,Rejected
74.3,1,61.0,7.2,0.0,1,102.5,3.01,2.8,64.6,0,10.8,0,Verified
96.0,1,75.0,15.3,0.0,1,83.1,4.38,0.7,87.8,0,21.4,0,Verified
75.0,1,87.0,16.0,6.7,1,908.3,7.25,1.2,93.0,0,22.8,0,Verified
71.1,1,63.0,0.0,6.1,1,494.8,5.62,8.0,46.9,0,4.2,0,Verified
71.4,1,101.0,10.9,1.5,1,268.4,2.38,10.9,54.8,0,8.5,0,Verified
20.2,1,4.0,47.6,62.6,1,8.7,0.0,43.5,7.5,0,44.6,1,Flagged for Review
88.6,1,193.0,0.0,12.2,1,197.4,6.09,3.1,54.7,0,8.3,0,Verified
22.8,0,8.0,80.9,29.5,0,22.2,0.0,5.0,13.2,0,84.5,2,Rejected
34.3,0,0.0,61.8,86.5,0,6.3,0.97,10.1,30.6,0,72.5,2,Rejected
52.9,1,121.0,21.0,7.4,1,412.2,3.6,4.7,66.7,0,19.5,0,Verified
80.8,1,62.0,4.9,14.0,1,43.7,3.26,2.1,51.5,0,4.4,0,Verified
79.9,1,141.0,12.1,22.5,1,1020.7,3.39,5.7,79.6,0,5.7,0,Verified
77.4,1,92.0,10.0,22.1,1,123.6,6.01,3.0,78.7,0,11.1,0,Verified
67.4,1,0.0,2.5,27.5,1,266.4,6.49,3.0,47.7,0,6.7,0,Verified
65.6,1,140.0,9.3,22.1,1,760.6,7.63,0.1,53.0,0,10.1,0,Verified
88.5,1,60.0,7.2,14.9,1,527.9,4.77,4.2,71.1,0,15.9,0,Verified
74.3,1,63.0,11.1,6.8,1,297.8,1.49,11.4,72.7,0,3.4,0,Verified
28.8,0,6.0,44.7,37.8,0,22.4,14.06,36.6,0.0,1,94.3,2,Rejected
69.6,1,94.0,0.0,1.5,1,168.7,5.4,0.5,71.0,0,1.3,0,Verified
41.4,0,0.0,38.3,78.7,0,1.2,0.15,38.9,5.6,0,72.4,2,Rejected
61.8,1,6.0,78.6,61.9,1,5.5,21.12,30.0,0.0,1,65.2,2,Rejected
90.2,1,81.0,10.8,3.3,1,469.7,4.51,1.6,72.1,0,20.2,0,Verified
37.3,0,10.0,42.5,47.4,0,14.4,21.71,0.2,31.8,0,71.7,2,Rejected
85.6,1,76.0,17.5,3.9,1,409.8,6.2,0.4,59.0,0,9.0,0,Verified
78.6,1,210.0,8.4,14.5,1,146.8,3.93,0.7,69.7,0,3.9,0,Verified
82.1,1,79.0,28.7,5.4,0,496.2,3.7,2.4,55.2,0,26.9,0,Verified
77.4,1,156.0,10.0,3.1,1,752.9,1.16,2.4,54.1,0,0.0,0,Verified
28.6,0,0.0,100.0,53.1,1,10.9,0.72,15.2,0.0,0,79.4,2,Rejected
85.0,1,124.0,2.5,18.0,1,372.6,4.35,2.6,58.1,1,22.1,0,Verified
68.1,1,80.0,15.0,10.8,1,441.6,5.22,2.1,89.0,0,10.5,0,Verified
67.8,1,103.0,12.8,6.9,1,710.7,3.16,4.9,38.8,0,9.6,0,Verified
62.6,1,13.0,9.4,15.1,1,187.4,0.87,8.1,66.1,0,22.3,0,Verified
59.6,1,120.0,5.0,7.0,1,797.2,3.67,0.9,60.8,0,9.9,0,Verified
20.8,1,19.0,82.6,11.3,1,1.2,15.6,9.6,6.6,1,63.9,1,Flagged for Review
84.2,0,116.0,12.8,0.3,1,427.5,5.73,1.7,84.9,0,25.8,0,Verified
69.5,1,0.0,16.3,9.8,1,735.4,4.11,0.1,38.4,0,8.5,0,Verified
3.3,0,6.0,82.9,64.9,1,13.0,0.74,14.5,16.1,0,60.7,1,Flagged for Review
40.3,0,11.0,43.2,17.3,1,10.2,19.58,10.6,0.0,1,56.0,1,Flagged for Review
54.4,1,123.0,9.6,0.0,1,531.9,5.12,2.4,46.3,0,7.6,0,Verified
91.2,1,123.0,11.0,21.0,1,176.8,3.01,0.4,47.8,0,8.4,0,Verified
93.4,1,102.0,8.0,21.2,1,539.8,8.3,2.4,61.2,0,10.7,0,Verified
68.1,1,139.0,10.2,21.4,1,493.7,5.38,0.1,39.7,0,4.5,0,Verified
37.9,0,12.0,44.9,77.7,0,2.8,25.55,49.5,14.8,0,78.6,2,Rejected
70.0,1,137.0,13.1,1.4,1,644.3,4.38,9.3,40.8,0,2.5,0,Verified
83.4,1,131.0,16.5,2.4,1,271.3,5.5,1.1,63.9,0,12.8,0,Verified
29.6,0,3.0,58.3,33.8,0,4.7,0.69,16.7,10.2,1,100.0,2,Rejected
56.9,1,102.0,7.4,29.2,1,385.8,2.05,1.8,50.7,0,24.1,0,Verified
76.6,1,192.0,22.9,13.5,1,260.2,5.04,2.9,39.8,0,12.2,0,Verified
80.3,1,132.0,7.1,5.8,1,550.8,6.43,0.6,26.1,0,16.4,0,Verified
76.4,1,66.0,20.6,28.4,1,366.0,0.14,4.9,84.4,0,7.8,0,Verified
65.4,1,121.0,6.7,3.7,1,37.0,3.75,0.7,49.8,0,8.4,0,Verified
76.4,1,144.0,0.4,14.7,1,1.0,9.61,0.0,100.0,0,11.5,0,Verified
36.5,0,7.0,39.0,53.3,1,3.6,0.0,74.0,12.2,1,73.8,2,Rejected
81.4,1,159.0,0.0,2.0,1,102.6,8.84,0.4,87.9,0,4.8,0,Verified
84.6,1,127.0,15.4,22.0,1,492.6,3.41,3.6,72.9,0,0.0,0,Verified
72.6,1,5.0,0.0,18.2,0,434.3,3.86,0.5,57.9,0,33.5,0,Verified
98.4,1,123.0,6.8,11.5,1,324.2,7.42,5.1,44.2,0,8.5,0,Verified
65.5,1,92.0,0.0,0.1,1,928.7,6.56,1.9,37.4,0,1.9,0,Verified
88.8,1,134.0,38.2,3.3,1,466.7,4.76,2.5,75.2,0,11.5,0,Verified
98.5,1,152.0,0.0,15.5,1,616.5,1.84,0.6,59.8,0,0.0,0,Verified
88.7,1,119.0,10.1,0.0,1,494.1,7.89,0.5,66.1,0,0.0,0,Verified
79.2,1,185.0,21.4,13.6,1,359.8,11.28,3.0,69.7,0,19.5,0,Verified
74.6,1,102.0,20.4,18.5,1,415.0,1.07,0.9,61.4,0,3.7,0,Verified
96.5,1,138.0,18.5,23.8,1,799.2,8.51,1.5,46.5,0,7.9,0,Verified
40.7,1,3.0,71.1,26.4,0,73.6,8.05,16.3,26.8,1,53.7,1,Flagged for Review
68.4,1,106.0,23.5,27.8,1,927.5,4.17,0.8,51.4,0,15.6,0,Verified
